country_name,country_code,Year,Renewables (% electricity),Urban population (% of total population),Total water withdrawal per capita,undernourishment_prevalence,Arable land (% of land area),Arable land (hectares per person),Government Expenditure (IMF based on Mauro et al. (2015)),"GDP per capita, PPP (constant 2017 international $)",Deaths - Unsafe water source,Gender wage gap (%),Population,"Health expenditure, total (% of GDP)",Human Development Index - undp_hdi,population below poverty line
Tunisia,TUN,2017,3.124426,68.642,288.9,3.1,16.780381,0.228015,31.810954,9388.021848,0.717323,0,11818618,7.003858,0.713871,0.246184
Turkey,TUR,2017,30.54583,74.644,644.9,3.1,25.983914,0.246534,39.18688,20009.6889,0.446772,0,84339067,5.414959,0.73763,0.138647
Uganda,UGA,2017,93.889019,23.196,12.52,3.1,34.410533,0.167612,19.863767,1668.988497,47.162222,0,45741000,7.222137,0.472912,41.35452
Ukraine,UKR,2017,7.405899,69.246,381.7,3.3,56.575177,0.731054,44.334233,12829.03065,0.104627,0,43733759,7.095736,0.732075,0.022942
ArabEmirates,ARE,2017,0.585636,86.248,855.6,3,0.626584,0.004691,15.554987,76620.31506,1.688705,0,9890400,3.643986,0.828391,0
UnitedKingdom,GBR,2017,29.120392,83.143,266.6,3.1,25.143138,0.092083,46.10402,44138.5205,0.026992,0,67886004,9.115472,0.906006,0.298055
UnitedStates,USA,2017,17.349949,82.058,1939,3.1,17.243857,0.485162,39.72843,55873.24474,0.053782,0,331002647,17.140754,0.908582,1.249923
Uruguay,URY,2017,98.504421,95.24,1100,3.1,11.45869,0.583563,34.34122,16151.36953,0.850856,0,3473727,8.581491,0.780163,0.054148
Uzbekistan,UZB,2017,14.378993,50.55,2415,2.8,9.249932,0.125828,30.714873,3901.05877,0.354508,0,33469199,5.838522,0.65512,12.69589
Vanuatu,VUT,2017,14.532571,25.163,682.5,9.7,1.640689,0.070053,22.625586,3017.516468,18.096877,0,307150,5.023575,0.58931,14.78451
Vietnam,VNM,2017,46.281501,35.213,682.5,6.9,22.537814,0.073872,31.734004,4422.285373,2.025995,0,97338583,7.066778,0.653469,1.796028
Zambia,ZMB,2017,86.949583,42.976,141.1,3.1,5.111718,0.225471,25.943997,2619.72137,63.476614,0,18383956,4.986765,0.554614,58.4013
Zimbabwe,ZWE,2017,55.967801,32.237,682.5,3.1,10.339925,0.280966,9.886323,2307.484624,37.094347,0,14862927,6.439471,0.460912,33.86269
CapeVerde,CPV,2017,36.01876958,65.261,48.31,17.9,12.406948,0.093023,35.305884,6018.107241,5.086731,0,555988,4.759696,0.629357,2.801914
Coted'Ivoire,CIV,2017,36.01876958,50.326,81.99,3.1,11.006289,0.143223,22.251955,3630.047645,47.894111,0,26378275,5.716274,0.444479,25.49439
Eswatini,SWZ,2017,36.01876958,23.625,963,16.5,10.174419,0.155582,40.004806,7167.543132,57.718749,0,1160164,9.25194,0.524663,28.60824
Myanmar,MMR,2017,36.01876958,30.322,682.5,13.7,16.945113,0.207214,18.527773,2388.44862,17.621038,0,54409794,2.275755,0.520394,1.364026
